INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.9585772, eval/recall = 0.88450354, global_step = 50000, loss = 0.3482934
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.896875, eval/precision = 0.9250921, eval/recall = 0.9389281, global_step = 50000, loss = 0.30576575
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.91375, eval/precision = 0.95359725, eval/recall = 0.930619, global_step = 50000, loss = 0.28964454
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9071875, eval/precision = 0.9127543, eval/recall = 0.96925634, global_step = 50000, loss = 0.3078459
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8834375, eval/precision = 0.95079786, eval/recall = 0.89115083, global_step = 50000, loss = 0.32442042
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8778125, eval/precision = 0.92211056, eval/recall = 0.91483176, global_step = 50000, loss = 0.34733593
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.9007663, eval/recall = 0.9767345, global_step = 50000, loss = 0.29686236
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9071875, eval/precision = 0.92540324, eval/recall = 0.95346904, global_step = 50000, loss = 0.30527553
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9365625, eval/precision = 0.9345426, eval/recall = 0.98462814, global_step = 50000, loss = 0.27559283
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9546875, eval/precision = 0.94988066, eval/recall = 0.9921064, global_step = 50000, loss = 0.26386756
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9065625, eval/precision = 0.9185862, eval/recall = 0.9609472, global_step = 50000, loss = 0.29660577
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8671875, eval/precision = 0.92826277, eval/recall = 0.89239717, global_step = 50000, loss = 0.37571862
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89, eval/precision = 0.93744683, eval/recall = 0.9148671, global_step = 50000, loss = 0.30944002
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8965625, eval/precision = 0.9182111, eval/recall = 0.94682175, global_step = 50000, loss = 0.30552936
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.9318745, eval/recall = 0.93768173, global_step = 50000, loss = 0.28520954
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9128125, eval/precision = 0.9519966, eval/recall = 0.9310345, global_step = 50000, loss = 0.29029858
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9128125, eval/precision = 0.91955835, eval/recall = 0.9688409, global_step = 50000, loss = 0.28569135
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.9231408, eval/recall = 0.9231408, global_step = 50000, loss = 0.33355772
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8675, eval/precision = 0.92829376, eval/recall = 0.8928126, global_step = 50000, loss = 0.320919
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9253125, eval/precision = 0.9277822, eval/recall = 0.9767345, global_step = 50000, loss = 0.29163173
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.925, eval/precision = 0.93991065, eval/recall = 0.96177816, global_step = 50000, loss = 0.27741572
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.901875, eval/precision = 0.94512975, eval/recall = 0.9231408, global_step = 50000, loss = 0.2701359
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.91875, eval/precision = 0.967756, eval/recall = 0.9227254, global_step = 50000, loss = 0.28023508
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9134375, eval/precision = 0.93935645, eval/recall = 0.94599086, global_step = 50000, loss = 0.3233933
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.85, eval/precision = 0.8947153, eval/recall = 0.9073536, global_step = 50000, loss = 0.36425754
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.908125, eval/precision = 0.93965876, eval/recall = 0.93809724, global_step = 50000, loss = 0.2541127
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9128125, eval/precision = 0.9198895, eval/recall = 0.96842545, global_step = 50000, loss = 0.3020521
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9303125, eval/precision = 0.9464432, eval/recall = 0.96177816, global_step = 50000, loss = 0.26594073
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8384375, eval/precision = 0.9177719, eval/recall = 0.8624844, global_step = 50000, loss = 0.37078875
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.878125, eval/precision = 0.92249686, eval/recall = 0.91483176, global_step = 50000, loss = 0.3295363
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.9673816, eval/recall = 0.8994599, global_step = 50000, loss = 0.29045644
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8846875, eval/precision = 0.9295953, eval/recall = 0.9160781, global_step = 50000, loss = 0.34964824
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9309375, eval/precision = 0.94795084, eval/recall = 0.9609472, global_step = 50000, loss = 0.29663947
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.93125, eval/precision = 0.92203784, eval/recall = 0.9925218, global_step = 50000, loss = 0.29787156
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8965625, eval/precision = 0.9188862, eval/recall = 0.94599086, global_step = 50000, loss = 0.33060715
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8959375, eval/precision = 0.91780823, eval/recall = 0.9464063, global_step = 50000, loss = 0.3168811
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.91375, eval/precision = 0.9390194, eval/recall = 0.94682175, global_step = 50000, loss = 0.3017878
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.86625, eval/precision = 0.9277994, eval/recall = 0.8915663, global_step = 50000, loss = 0.34622324
