Wall time,Step,Value
1528651799.153503,25840,-8.502816200256348
1528651803.821414,25939,-8.493982315063477
1528651808.522931,26038,-8.464405059814453
1528651813.717569,26137,-8.459293365478516
1528651818.42712,26236,-8.446358680725098
1528651822.947124,26335,-8.434280395507812
1528651827.671789,26434,-8.415082931518555
1528651832.275506,26533,-8.417271614074707
1528651837.007267,26632,-8.389232635498047
1528651841.606338,26731,-8.383359909057617
1528651846.316981,26830,-8.374524116516113
1528651851.066697,26929,-8.36005973815918
1528651855.837169,27028,-8.353370666503906
1528651860.513407,27127,-8.335287094116211
1528651865.020871,27226,-8.321954727172852
1528651869.647102,27325,-8.302117347717285
1528651874.206035,27424,-8.284648895263672
1528651878.788445,27523,-8.278016090393066
1528651883.196275,27622,-8.261178970336914
1528651887.596174,27721,-8.247715950012207
1528651892.141576,27820,-8.253993034362793
1528651896.743235,27919,-8.26620864868164
1528651901.019165,28018,-8.300722122192383
1528651905.552716,28117,-8.308326721191406
1528651910.02919,28216,-8.292970657348633
1528651914.562151,28315,-8.295326232910156
1528651918.916273,28414,-8.292061805725098
1528651923.459012,28513,-8.288548469543457
1528651927.983558,28612,-8.284543991088867
1528651932.66025,28711,-8.28023910522461
1528651937.215185,28810,-8.276771545410156
1528651941.693521,28909,-8.271469116210938
1528651946.204866,29008,-8.254436492919922
1528651950.773172,29107,-8.250041961669922
1528651955.449018,29206,-8.26485824584961
1528651960.172472,29305,-8.266472816467285
1528651964.969903,29404,-8.252367973327637
1528651969.850868,29503,-8.242216110229492
1528651974.633421,29602,-8.232858657836914
1528651979.307224,29701,-8.220115661621094
1528651983.858671,29800,-8.214975357055664
1528651988.497131,29899,-8.199217796325684
1528651993.215987,29998,-8.207208633422852
1528651997.738769,30097,-8.188896179199219
1528652002.413359,30196,-8.18842887878418
1528652011.831738,30394,-8.198684692382812
1528652016.425181,30493,-8.189010620117188
1528652020.769243,30592,-8.164660453796387
1528652025.418797,30691,-8.161813735961914
1528652030.180279,30790,-8.14671516418457
1528652034.783662,30889,-8.139270782470703
1528652039.368993,30988,-8.122156143188477
1528652044.088054,31087,-8.113275527954102
1528652048.703522,31186,-8.098200798034668
1528652053.236483,31285,-8.089112281799316
1528652057.549573,31384,-8.085855484008789
1528652062.023422,31483,-8.068521499633789
1528652066.490526,31582,-8.06138801574707
1528652071.048515,31681,-8.073202133178711
1528652075.610292,31780,-8.04704475402832
1528652080.120335,31879,-8.047222137451172
1528652084.812904,31978,-8.031328201293945
1528652089.31975,32077,-8.02592658996582
1528652094.060399,32176,-7.993721008300781
1528652098.606623,32275,-8.000410079956055
1528652102.930883,32374,-7.987341403961182
1528652107.538753,32473,-7.968522548675537
1528652112.082841,32572,-7.97137451171875
1528652116.727507,32671,-7.944039821624756
1528652121.163988,32770,-7.940346717834473
1528652125.642127,32869,-7.935277462005615
1528652130.210032,32968,-7.908173084259033
1528652134.823932,33067,-7.897510528564453
1528652139.388357,33166,-7.890377044677734
1528652144.018009,33265,-7.874983787536621
1528652148.721616,33364,-7.865944862365723
1528652153.484761,33463,-7.872607707977295
1528652158.155635,33562,-7.852142810821533
1528652162.823214,33661,-7.875936508178711
1528652167.336986,33760,-7.868099212646484
1528652172.000862,33859,-7.840671539306641
1528652176.524983,33958,-7.826690673828125
1528652181.040168,34057,-7.825255870819092
1528652185.597029,34156,-7.804985523223877
1528652190.249224,34255,-7.796513557434082
1528652194.910678,34354,-7.789323806762695
1528652199.56687,34453,-7.782397747039795
1528652204.007844,34552,-7.770035743713379
1528652208.594618,34651,-7.74520206451416
1528652213.234078,34750,-7.752303600311279
1528652217.982043,34849,-7.736035346984863
1528652222.706286,34948,-7.738110065460205
1528652227.230767,35047,-7.7339982986450195
1528652231.776019,35146,-7.738190650939941
1528652236.312656,35245,-7.724475860595703
1528652240.858958,35344,-7.7008514404296875
1528652245.42001,35443,-7.700450897216797
1528652250.130852,35542,-7.696282386779785
1528652254.677003,35641,-7.682842254638672
1528652259.074925,35740,-7.661072731018066
1528652263.549021,35839,-7.6510796546936035
1528652268.297503,35938,-7.655442237854004
1528652273.027951,36037,-7.658329010009766
1528652277.546125,36136,-7.645631790161133
1528652282.037187,36235,-7.63374137878418
1528652286.759089,36334,-7.635280132293701
1528652291.457527,36433,-7.630983352661133
1528652296.103878,36532,-7.623974800109863
1528652300.758349,36631,-7.6031646728515625
1528652305.401029,36730,-7.622262954711914
1528652310.064396,36829,-7.616392135620117
1528652314.625348,36928,-7.59334135055542
1528652319.352005,37027,-7.592157363891602
1528652324.055935,37126,-7.596327781677246
1528652328.773132,37225,-7.61110258102417
1528652333.512665,37324,-7.574894905090332
1528652338.087673,37423,-7.558761119842529
1528652342.534259,37522,-7.628811836242676
1528652347.190973,37621,-7.654760360717773
1528652351.89995,37720,-7.663889408111572
1528652356.48936,37819,-7.653045654296875
1528652361.170228,37918,-7.675009250640869
1528652365.865533,38017,-7.694484233856201
1528652370.454832,38116,-7.704467296600342
1528652375.038494,38215,-7.730051040649414
1528652379.590261,38314,-7.704125881195068
1528652384.132525,38413,-7.7210235595703125
1528652388.695804,38512,-7.720550537109375
1528652396.573895,38611,-7.723424911499023
1528652401.191495,38710,-7.731966972351074
1528652405.74942,38809,-7.744349479675293
1528652410.404048,38908,-7.740781784057617
1528652415.083388,39007,-7.752150535583496
1528652419.609047,39106,-7.750879287719727
1528652424.322708,39205,-7.7754316329956055
1528652429.065901,39304,-7.761850833892822
1528652433.964245,39403,-7.774255752563477
1528652438.749367,39502,-7.754327774047852
1528652443.370518,39601,-7.738825798034668
1528652448.171713,39700,-7.750868320465088
1528652452.904089,39799,-7.758641719818115
1528652457.603266,39898,-7.762092590332031
1528652462.178275,39997,-7.748148441314697
1528652466.797292,40096,-7.736209869384766
1528652471.320036,40195,-7.750569820404053
1528652475.930082,40294,-7.732427597045898
1528652485.055161,40492,-7.734799385070801
1528652489.891632,40591,-7.761351585388184
1528652494.729929,40690,-7.722746849060059
1528652499.411092,40789,-7.739545822143555
1528652503.965042,40888,-7.754589557647705
1528652508.663866,40987,-7.74051570892334
1528652513.499142,41086,-7.733119964599609
1528652517.997534,41185,-7.728580474853516
1528652522.510399,41284,-7.750222206115723
1528652527.316682,41383,-7.722726821899414
1528652531.958122,41482,-7.718390464782715
1528652536.579609,41581,-7.719403266906738
1528652545.782727,41779,-7.711116790771484
1528652550.128026,41878,-7.707314968109131
1528652554.785882,41977,-7.7035813331604
1528652559.443199,42076,-7.707828521728516
1528652564.129626,42175,-7.699202537536621
1528652568.884578,42274,-7.705901145935059
1528652573.686695,42373,-7.685914993286133
1528652578.449953,42472,-7.694713592529297
1528652583.245126,42571,-7.674846649169922
1528652587.976265,42670,-7.678719520568848
1528652592.600709,42769,-7.6808695793151855
1528652597.241975,42868,-7.681398391723633
1528652601.894693,42967,-7.667745590209961
1528652606.545114,43066,-7.648238182067871
1528652611.386414,43165,-7.6453962326049805
1528652616.148985,43264,-7.631053924560547
1528652620.77537,43363,-7.639050483703613
1528652625.525028,43462,-7.622166633605957
1528652630.276248,43561,-7.618640422821045
1528652634.85199,43660,-7.614352226257324
1528652639.391979,43759,-7.600006103515625
1528652644.001994,43858,-7.601203441619873
1528652648.596977,43957,-7.585943222045898
1528652653.222002,44056,-7.577099800109863
1528652657.816508,44155,-7.557599067687988
1528652662.407452,44254,-7.563094139099121
1528652667.236664,44353,-7.548371315002441
1528652671.710153,44452,-7.546258926391602
1528652676.347069,44551,-7.537741184234619
1528652680.99111,44650,-7.528373718261719
1528652685.779422,44749,-7.51707649230957
1528652690.46547,44848,-7.517554759979248
1528652695.22493,44947,-7.502904891967773
1528652699.754657,45046,-7.500741481781006
1528652704.206136,45145,-7.494988441467285
1528652709.01855,45244,-7.495545864105225
1528652713.625266,45343,-7.489673137664795
1528652718.163108,45442,-7.488106727600098
1528652722.563759,45541,-7.476436614990234
1528652726.946078,45640,-7.475476264953613
1528652731.574685,45739,-7.474230766296387
1528652736.302976,45838,-7.466407775878906
1528652741.121188,45937,-7.486907958984375
1528652745.705578,46036,-7.479905605316162
1528652750.449073,46135,-7.4747209548950195
1528652755.266917,46234,-7.465517997741699
1528652759.843867,46333,-7.469326019287109
1528652764.559849,46432,-7.462965488433838
1528652769.288017,46531,-7.461025238037109
1528652773.859935,46630,-7.459407806396484
1528652778.358618,46729,-7.452217102050781
1528652783.113049,46828,-7.451153755187988
1528652787.828478,46927,-7.4450459480285645
1528652792.514039,47026,-7.452978134155273
1528652797.336,47125,-7.456324100494385
1528652801.988277,47224,-7.452105522155762
1528652806.714459,47323,-7.449593544006348
1528652811.481563,47422,-7.446221351623535
1528652816.315889,47521,-7.44627571105957
1528652821.007707,47620,-7.4420166015625
1528652825.604859,47719,-7.436468124389648
1528652830.200803,47818,-7.439949035644531
1528652839.593452,48016,-7.415950775146484
1528652844.269681,48115,-7.415815830230713
1528652848.86019,48214,-7.409153461456299
1528652853.414925,48313,-7.404872417449951
1528652857.960781,48412,-7.40110969543457
1528652862.470868,48511,-7.389467239379883
1528652867.03144,48610,-7.388035774230957
1528652871.537951,48709,-7.391266345977783
1528652876.040136,48808,-7.388824462890625
1528652880.434457,48907,-7.382421493530273
1528652885.060302,49006,-7.3811492919921875
1528652889.846172,49105,-7.374758720397949
1528652894.495741,49204,-7.380528450012207
1528652899.02854,49303,-7.371637344360352
1528652903.554707,49402,-7.364633560180664
1528652908.11384,49501,-7.362272262573242
1528652912.83603,49600,-7.356157302856445
1528652917.725048,49699,-7.367016792297363
1528652922.270874,49798,-7.37288761138916
1528652926.859771,49897,-7.34747314453125
1528652931.261587,49996,-7.354536533355713
1528652935.94489,50095,-7.353795051574707
1528652940.628602,50194,-7.346145153045654
1528652945.358353,50293,-7.336370944976807
1528652949.991917,50392,-7.321349143981934
1528652954.46235,50491,-7.325155258178711
1528652958.963252,50590,-7.319245338439941
1528652963.550098,50689,-7.3268842697143555
1528652968.199813,50788,-7.319058418273926
1528652973.01975,50887,-7.310595989227295
1528652982.087833,51085,-7.295820236206055
1528652986.770719,51184,-7.299737930297852
1528652994.496789,51283,-7.3059492111206055
1528652999.05638,51382,-7.286788463592529
1528653003.529507,51481,-7.28975248336792
1528653008.380816,51580,-7.282706260681152
1528653012.974675,51679,-7.279269218444824
1528653017.549395,51778,-7.273825168609619
1528653022.133536,51877,-7.263707160949707
1528653026.68806,51976,-7.261594772338867
1528653031.2382,52075,-7.250593662261963
1528653035.785276,52174,-7.2476806640625
1528653040.498565,52273,-7.243279457092285
1528653045.082322,52372,-7.241659164428711
1528653049.875248,52471,-7.227477073669434
1528653054.683447,52570,-7.215934753417969
1528653059.271148,52669,-7.215156555175781
1528653063.996474,52768,-7.2050862312316895
1528653068.824641,52867,-7.209887504577637
1528653073.452086,52966,-7.20664644241333
1528653078.001391,53065,-7.2005743980407715
1528653082.772651,53164,-7.217921733856201
1528653087.34379,53263,-7.204340934753418
1528653091.970274,53362,-7.1872382164001465
1528653096.812352,53461,-7.160507678985596
1528653101.580974,53560,-7.134025573730469
1528653106.057049,53659,-7.172459602355957
1528653110.49429,53758,-7.163599014282227
1528653114.959623,53857,-7.171543121337891
1528653119.492535,53956,-7.186000823974609
1528653123.881432,54055,-7.191296100616455
1528653128.613208,54154,-7.196753978729248
1528653133.389221,54253,-7.200294494628906
1528653138.195864,54352,-7.211635112762451
1528653142.847351,54451,-7.196526527404785
1528653147.625444,54550,-7.19548225402832
1528653152.349736,54649,-7.199211597442627
1528653157.136894,54748,-7.184247016906738
1528653161.941963,54847,-7.185088157653809
1528653166.535068,54946,-7.174787998199463
1528653171.177427,55045,-7.172219276428223
1528653175.702151,55144,-7.168001651763916
1528653180.329208,55243,-7.163968086242676
1528653184.944206,55342,-7.161681652069092
1528653189.515673,55441,-7.157984256744385
1528653194.273251,55540,-7.156013488769531
1528653198.93154,55639,-7.146061897277832
1528653203.479652,55738,-7.141200542449951
1528653208.082654,55837,-7.132256507873535
1528653212.645282,55936,-7.140997886657715
1528653217.314497,56035,-7.136263370513916
1528653222.013013,56134,-7.1273651123046875
1528653226.731106,56233,-7.125429153442383
1528653231.521169,56332,-7.126479625701904
1528653236.1488,56431,-7.118152618408203
1528653240.652405,56530,-7.119129180908203
1528653245.430737,56629,-7.110917091369629
1528653250.028935,56728,-7.106561660766602
1528653254.522176,56827,-7.101580619812012
1528653259.02926,56926,-7.096257209777832
1528653263.476672,57025,-7.101035118103027
1528653267.924715,57124,-7.09597110748291
1528653272.601338,57223,-7.098390102386475
1528653277.248086,57322,-7.090427398681641
1528653281.964051,57421,-7.083555221557617
1528653286.774433,57520,-7.088386535644531
1528653291.576357,57619,-7.079141616821289
1528653296.124113,57718,-7.074363708496094
1528653300.764078,57817,-7.074042797088623
1528653305.37872,57916,-7.07163667678833
1528653309.966613,58015,-7.062234878540039
1528653314.701799,58114,-7.054930210113525
1528653319.324317,58213,-7.057018280029297
1528653323.803738,58312,-7.055541038513184
1528653328.238987,58411,-7.0580153465271
1528653332.927836,58510,-7.049739837646484
1528653337.75774,58609,-7.0355377197265625
1528653342.609691,58708,-7.066582202911377
1528653347.250105,58807,-7.013954162597656
1528653356.827478,59005,-6.9990553855896
1528653361.547496,59104,-6.99561882019043
1528653366.316713,59203,-6.997547149658203
1528653371.079619,59302,-7.006082534790039
1528653375.776199,59401,-7.004304885864258
1528653380.472046,59500,-7.0004682540893555
1528653385.196383,59599,-7.013509750366211
1528653389.774852,59698,-7.010522842407227
1528653394.37762,59797,-7.0107269287109375
1528653399.0936,59896,-7.010168075561523
1528653403.742505,59995,-7.003775596618652
1528653408.284162,60094,-7.008492946624756
1528653412.934137,60193,-7.004871368408203
1528653417.641588,60292,-6.997056007385254
1528653422.284163,60391,-6.989713668823242
1528653427.062422,60490,-6.984728813171387
1528653431.664468,60589,-6.979417324066162
1528653436.31978,60688,-6.962604522705078
1528653440.694273,60787,-6.969083786010742
1528653445.160644,60886,-6.9593024253845215
1528653449.524711,60985,-6.953815937042236
1528653453.951455,61084,-6.951940536499023
1528653458.31534,61183,-6.957747459411621
1528653462.786688,61282,-6.944864273071289
1528653467.376105,61381,-6.94603157043457
1528653472.002407,61480,-6.935619831085205
1528653476.506833,61579,-6.935018539428711
1528653480.856458,61678,-6.930778503417969
1528653485.254317,61777,-6.927031517028809
1528653489.734443,61876,-6.913574695587158
1528653494.484336,61975,-6.913003921508789
1528653499.021622,62074,-6.901244163513184
1528653503.478141,62173,-6.903971195220947
1528653507.872299,62272,-6.900251388549805
1528653512.503657,62371,-6.89405632019043
1528653517.279955,62470,-6.891033172607422
1528653521.906381,62569,-6.8862223625183105
1528653526.4357,62668,-6.879395484924316
1528653531.058044,62767,-6.877564907073975
1528653535.717559,62866,-6.8695526123046875
1528653540.324429,62965,-6.8632121086120605
1528653544.908515,63064,-6.85947322845459
1528653549.672426,63163,-6.873683929443359
1528653554.256062,63262,-6.902041912078857
1528653558.803727,63361,-6.890357971191406
1528653563.413848,63460,-6.885159969329834
1528653567.780032,63559,-6.902361869812012
1528653572.347327,63658,-6.899988651275635
1528653576.929601,63757,-6.895696640014648
1528653581.604885,63856,-6.897216796875
1528653586.331689,63955,-6.8860273361206055
1528653594.083,64054,-6.888554573059082
1528653598.72102,64153,-6.888006210327148
1528653603.128138,64252,-6.880336761474609
1528653607.941285,64351,-6.8760986328125
1528653612.710127,64450,-6.87609338760376
1528653617.223099,64549,-6.871967315673828
1528653621.927489,64648,-6.869479179382324
1528653626.398795,64747,-6.860349178314209
1528653631.153422,64846,-6.85795259475708
1528653635.818256,64945,-6.851563930511475
1528653640.567861,65044,-6.852360248565674
1528653645.110815,65143,-6.848169803619385
1528653649.805424,65242,-6.838949680328369
1528653654.546511,65341,-6.845000267028809
1528653659.111446,65440,-6.843052864074707
1528653663.674552,65539,-6.835763931274414
1528653668.263077,65638,-6.8405351638793945
1528653672.804557,65737,-6.830469608306885
1528653677.436817,65836,-6.833632946014404
1528653682.138018,65935,-6.826883792877197
1528653686.892402,66034,-6.822899341583252
1528653691.565774,66133,-6.821681976318359
1528653696.353558,66232,-6.816492080688477
1528653700.981898,66331,-6.817688465118408
1528653705.613352,66430,-6.794700622558594
1528653710.236316,66529,-6.802288055419922
1528653714.831294,66628,-6.791149616241455
1528653719.415294,66727,-6.782500267028809
1528653724.204435,66826,-6.769707679748535
1528653728.965991,66925,-6.772243976593018
1528653733.674446,67024,-6.759877681732178
1528653738.103878,67123,-6.750854015350342
1528653742.892644,67222,-6.7477192878723145
